Character,Character Name,Code Point,Block,Plane,Category
┫,BOX DRAWINGS HEAVY VERTICAL AND LEFT,U+252B,Box Drawing,Plane 0 (BMP),"Symbol, Other"
┳,BOX DRAWINGS HEAVY DOWN AND HORIZONTAL,U+2533,Box Drawing,Plane 0 (BMP),"Symbol, Other"
┻,BOX DRAWINGS HEAVY UP AND HORIZONTAL,U+253B,Box Drawing,Plane 0 (BMP),"Symbol, Other"
╋,BOX DRAWINGS HEAVY VERTICAL AND HORIZONTAL,U+254B,Box Drawing,Plane 0 (BMP),"Symbol, Other"
─,BOX DRAWINGS LIGHT HORIZONTAL,U+2500,Box Drawing,Plane 0 (BMP),"Symbol, Other"
│,BOX DRAWINGS LIGHT VERTICAL,U+2502,Box Drawing,Plane 0 (BMP),"Symbol, Other"
┌,BOX DRAWINGS LIGHT DOWN AND RIGHT,U+250C,Box Drawing,Plane 0 (BMP),"Symbol, Other"
┐,BOX DRAWINGS LIGHT DOWN AND LEFT,U+2510,Box Drawing,Plane 0 (BMP),"Symbol, Other"
└,BOX DRAWINGS LIGHT UP AND RIGHT,U+2514,Box Drawing,Plane 0 (BMP),"Symbol, Other"
┘,BOX DRAWINGS LIGHT UP AND LEFT,U+2518,Box Drawing,Plane 0 (BMP),"Symbol, Other"
├,BOX DRAWINGS LIGHT VERTICAL AND RIGHT,U+251C,Box Drawing,Plane 0 (BMP),"Symbol, Other"
┤,BOX DRAWINGS LIGHT VERTICAL AND LEFT,U+2524,Box Drawing,Plane 0 (BMP),"Symbol, Other"
┬,BOX DRAWINGS LIGHT DOWN AND HORIZONTAL,U+252C,Box Drawing,Plane 0 (BMP),"Symbol, Other"
┴,BOX DRAWINGS LIGHT UP AND HORIZONTAL,U+2534,Box Drawing,Plane 0 (BMP),"Symbol, Other"
┼,BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL,U+253C,Box Drawing,Plane 0 (BMP),"Symbol, Other"
▀,UPPER HALF BLOCK,U+2580,Block Elements,Plane 0 (BMP),"Symbol, Other"
 ,LOWER HALF BLOCK,U+2584,Block Elements,Plane 0 (BMP),"Symbol, Other"
█,FULL BLOCK,U+2588,Block Elements,Plane 0 (BMP),"Symbol, Other"
▌,LEFT HALF BLOCK,U+258C,Block Elements,Plane 0 (BMP),"Symbol, Other"
▐,RIGHT HALF BLOCK,U+2590,Block Elements,Plane 0 (BMP),"Symbol, Other"
░,LIGHT SHADE,U+2591,Block Elements,Plane 0 (BMP),"Symbol, Other"
▒,MEDIUM SHADE,U+2592,Block Elements,Plane 0 (BMP),"Symbol, Other"
▓,DARK SHADE,U+2593,Block Elements,Plane 0 (BMP),"Symbol, Other"
■,BLACK SQUARE,U+25A0,Geometric Shapes,Plane 0 (BMP),"Symbol, Other"
□,WHITE SQUARE,U+25A1,Geometric Shapes,Plane 0 (BMP),"Symbol, Other"
▢,WHITE SQUARE WITH ROUNDED CORNERS,U+25A2,Geometric Shapes,Plane 0 (BMP),"Symbol, Other"
▪,BLACK SMALL SQUARE,U+25AA,Geometric Shapes,Plane 0 (BMP),"Symbol, Other"
▫,WHITE SMALL SQUARE,U+25AB,Geometric Shapes,Plane 0 (BMP),"Symbol, Other"
▬,BLACK RECTANGLE,U+25AC,Geometric Shapes,Plane 0 (BMP),"Symbol, Other"
▭,WHITE RECTANGLE,U+25AD,Geometric Shapes,Plane 0 (BMP),"Symbol, Other"
▲,BLACK UP-POINTING TRIANGLE,U+25B2,Geometric Shapes,Plane 0 (BMP),"Symbol, Other"
△,WHITE UP-POINTING TRIANGLE,U+25B3,Geometric Shapes,Plane 0 (BMP),"Symbol, Other"
▼,BLACK DOWN-POINTING TRIANGLE,U+25BC,Geometric Shapes,Plane 0 (BMP),"Symbol, Other"
▽,WHITE DOWN-POINTING TRIANGLE,U+25BD,Geometric Shapes,Plane 0 (BMP),"Symbol, Other"
◀,BLACK LEFT-POINTING TRIANGLE,U+25C0,Geometric Shapes,Plane 0 (BMP),"Symbol, Other"
◁,WHITE LEFT-POINTING TRIANGLE,U+25C1,Geometric Shapes,Plane 0 (BMP),"Symbol, Other"
▶,BLACK RIGHT-POINTING TRIANGLE,U+25B6,Geometric Shapes,Plane 0 (BMP),"Symbol, Other"
▷,WHITE RIGHT-POINTING TRIANGLE,U+25B7,Geometric Shapes,Plane 0 (BMP),"Symbol, Other"
•,BLACK CIRCLE,U+25CF,Geometric Shapes,Plane 0 (BMP),"Symbol, Other"
○,WHITE CIRCLE,U+25CB,Geometric Shapes,Plane 0 (BMP),"Symbol, Other"
◎,BULLSEYE,U+25CE,Geometric Shapes,Plane 0 (BMP),"Symbol, Other"
●,BLACK CIRCLE,U+25CF,Geometric Shapes,Plane 0 (BMP),"Symbol, Other"
☆,WHITE STAR,U+2606,Miscellaneous Symbols,Plane 0 (BMP),"Symbol, Other"
★,BLACK STAR,U+2605,Miscellaneous Symbols,Plane 0 (BMP),"Symbol, Other"
♪,EIGHTH NOTE,U+266A,Miscellaneous Symbols,Plane 0 (BMP),"Symbol, Other"
♫,BEAMED EIGHTH NOTES,U+266B,Miscellaneous Symbols,Plane 0 (BMP),"Symbol, Other"
♩,QUARTER NOTE,U+2669,Miscellaneous Symbols,Plane 0 (BMP),"Symbol, Other"
♨,HOT SPRINGS,U+2668,Miscellaneous Symbols,Plane 0 (BMP),"Symbol, Other"
⌘,SQUARE COMMAND,U+2318,Miscellaneous Symbols,Plane 0 (BMP),"Symbol, Other"
⚡,HIGH VOLTAGE SIGN,U+26A1,Miscellaneous Symbols,Plane 0 (BMP),"Symbol, Other"
♲,UNIVERSAL RECYCLING SYMBOL,U+2672,Miscellaneous Symbols,Plane 0 (BMP),"Symbol, Other"
♻,BLACK UNIVERSAL RECYCLING SYMBOL,U+267B,Miscellaneous Symbols,Plane 0 (BMP),"Symbol, Other"
♿,WHEELCHAIR SYMBOL,U+267F,Miscellaneous Symbols,Plane 0 (BMP),"Symbol, Other"
⛔,NO ENTRY,U+26D4,Miscellaneous Symbols,Plane 0 (BMP),"Symbol, Other"
✅,WHITE HEAVY CHECK MARK,U+2705,Dingbats,Plane 0 (BMP),"Symbol, Other"
❌,CROSS MARK,U+274C,Dingbats,Plane 0 (BMP),"Symbol, Other"
❓,BLACK QUESTION MARK ORNAMENT,U+2753,Dingbats,Plane 0 (BMP),"Symbol, Other"
❗,HEAVY EXCLAMATION MARK SYMBOL,U+2757,Dingbats,Plane 0 (BMP),"Symbol, Other"
✨,SPARKLES,U+2728,Dingbats,Plane 0 (BMP),"Symbol, Other"
⭐,WHITE MEDIUM STAR,U+2B50,Miscellaneous Symbols and Pictographs,Plane 0 (BMP),"Symbol, Other"
❤️,HEAVY BLACK HEART,U+2764,Dingbats,Plane 0 (BMP),"Symbol, Other"
➕,HEAVY PLUS SIGN,U+2795,Dingbats,Plane 0 (BMP),"Symbol, Other"
➖,HEAVY MINUS SIGN,U+2796,Dingbats,Plane 0 (BMP),"Symbol, Other"
✖,HEAVY MULTIPLICATION X,U+2716,Dingbats,Plane 0 (BMP),"Symbol, Other"
➗,HEAVY DIVISION SIGN,U+2797,Dingbats,Plane 0 (BMP),"Symbol, Other"
➔,BLACK RIGHTWARDS ARROW,U+2794,Dingbats,Plane 0 (BMP),"Symbol, Other"
➕,HEAVY PLUS SIGN,U+2795,Dingbats,Plane 0 (BMP),"Symbol, Other"
➖,HEAVY MINUS SIGN,U+2796,Dingbats,Plane 0 (BMP),"Symbol, Other"
✖,HEAVY MULTIPLICATION X,U+2716,Dingbats,Plane 0 (BMP),"Symbol, Other"
➗,HEAVY DIVISION SIGN,U+2797,Dingbats,Plane 0 (BMP),"Symbol, Other"
➔,BLACK RIGHTWARDS ARROW,U+2794,Dingbats,Plane 0 (BMP),"Symbol, Other"
